scenario,sequence,report_id,timestamp,location,category,reported_severity,description,reporter_type
NETWORK,1,Q001,2026-09-17T10:02,Campus-wide,it,MEDIUM,Wi-Fi is slow in the north residence.,controlled_replay
NETWORK,2,Q002,2026-09-17T10:04,Campus-wide,it,MEDIUM,Students in the library cannot reach the learning platform.,controlled_replay
NETWORK,3,Q003,2026-09-17T10:06,Campus-wide,it,HIGH,A lecturer reports failed logins in Block B.,controlled_replay
NETWORK,4,Q004,2026-09-17T10:08,Campus-wide,it,HIGH,Multiple buildings now show intermittent network loss.,controlled_replay
NETWORK,5,Q005,2026-09-17T10:10,Campus-wide,it,HIGH,One user says mobile data works and believes the issue is local.,controlled_replay
NETWORK,6,Q006,2026-09-17T10:12,Campus-wide,it,HIGH,ICT identifies a core switch problem.,controlled_replay
NETWORK,7,Q007,2026-09-17T10:14,Campus-wide,it,HIGH,"Most users can connect, but residence access is still degraded.",controlled_replay
NETWORK,8,Q008,2026-09-17T10:16,Campus-wide,it,HIGH,Resolved: campus network services are stable.,controlled_replay
SMOKE,1,Q009,2026-09-17T10:18,Engineering Block E3,fire,HIGH,A burning smell is coming from the E3 electrical lab.,controlled_replay
SMOKE,2,Q010,2026-09-17T10:20,Engineering Block E3,fire,HIGH,Light smoke is visible near a wall socket in E3.,controlled_replay
SMOKE,3,Q011,2026-09-17T10:22,Engineering Block E3,fire,CRITICAL,A second lecturer confirms smoke and asks students to leave.,controlled_replay
SMOKE,4,Q012,2026-09-17T10:24,Engineering Block E3,fire,CRITICAL,Sparks were seen and the local alarm has activated.,controlled_replay
SMOKE,5,Q013,2026-09-17T10:26,Engineering Block E3,fire,CRITICAL,One witness says the smoke may be dust from maintenance.,controlled_replay
SMOKE,6,Q014,2026-09-17T10:28,Engineering Block E3,fire,CRITICAL,Security confirms the room has been evacuated.,controlled_replay
SMOKE,7,Q015,2026-09-17T10:30,Engineering Block E3,fire,CRITICAL,An electrician reports a failed distribution component.,controlled_replay
SMOKE,8,Q016,2026-09-17T10:32,Engineering Block E3,fire,CRITICAL,Resolved: room inspected and reopened with power restored.,controlled_replay
CONTRACTOR,1,Q017,2026-09-17T10:34,Science Block loading bay,security,LOW,An unknown person is photographing a locked service entrance.,controlled_replay
CONTRACTOR,2,Q018,2026-09-17T10:36,Science Block loading bay,security,MEDIUM,The person has tools and is trying keys at the loading bay.,controlled_replay
CONTRACTOR,3,Q019,2026-09-17T10:38,Science Block loading bay,security,MEDIUM,A second report describes a reflective vest and contractor vehicle.,controlled_replay
CONTRACTOR,4,Q020,2026-09-17T10:40,Science Block loading bay,security,MEDIUM,The person entered a restricted service corridor.,controlled_replay
CONTRACTOR,5,Q021,2026-09-17T10:42,Science Block loading bay,security,MEDIUM,A staff member says maintenance work may have been scheduled today.,controlled_replay
CONTRACTOR,6,Q022,2026-09-17T10:44,Science Block loading bay,security,MEDIUM,Security approaches the person for identification.,controlled_replay
CONTRACTOR,7,Q023,2026-09-17T10:46,Science Block loading bay,security,MEDIUM,The contractor identity and work order are verified.,controlled_replay
CONTRACTOR,8,Q024,2026-09-17T10:48,Science Block loading bay,security,MEDIUM,Resolved: authorised contractor verified; no accusation or punitive action required.,controlled_replay
LIFT,1,Q025,2026-09-17T10:50,Administration Block Lift A,accessibility,MEDIUM,Lift A is not responding at the ground floor.,controlled_replay
LIFT,2,Q026,2026-09-17T10:52,Administration Block Lift A,accessibility,MEDIUM,A wheelchair user is waiting for access to the second floor.,controlled_replay
LIFT,3,Q027,2026-09-17T10:54,Administration Block Lift A,accessibility,HIGH,Reception confirms there is no equivalent accessible route.,controlled_replay
LIFT,4,Q028,2026-09-17T10:56,Administration Block Lift A,accessibility,HIGH,The lift stopped between floors with two occupants inside.,controlled_replay
LIFT,5,Q029,2026-09-17T10:58,Administration Block Lift A,accessibility,HIGH,"Another caller says the doors are open on level one, which conflicts with the trapped-person report.",controlled_replay
LIFT,6,Q030,2026-09-17T11:00,Administration Block Lift A,accessibility,HIGH,Security confirms two occupants are communicating through the intercom.,controlled_replay
LIFT,7,Q031,2026-09-17T11:02,Administration Block Lift A,accessibility,HIGH,The lift remains unavailable and an assisted alternative route is active.,controlled_replay
LIFT,8,Q032,2026-09-17T11:04,Administration Block Lift A,accessibility,HIGH,Resolved: Lift A returned to service and access support stood down.,controlled_replay
